书籍名,作者,出版日期,出版社,ISBN,PDF🔗
宏观经济学,奥利维尔·布兰查德,2010,清华大学出版社,978-7-302-21954-5,
微观经济学（第三版）,刘东; 梁栋黎,,南京大学出版社,,
微观经济学: 中级教程,张元鹏,2015,北京大学出版社,978-7-301-25621-3,
微观经济学教程(第三版),刘东; 路瑶,2016,科学出版社,978-7-03-047815-3,
计量经济学导论（第五版）,杰弗里·M·伍德里奇,2015,中国人民大学出版社,978-7-300-20815-2,
计量经济学（第二版）,詹姆斯·H·斯托克; 马克·W·沃森,2012,格致出版社/上海三联书店/上海人民出版社,978-7-5432-2059-1,
Introduction to Econometrics,"STOCK, JAMES; WATSON, MARK",2017,PEARSON INDIA,978-93-5286-350-1,
精通计量：从原因到结果的探寻之旅,乔舒亚·安格里斯特; 约恩-斯特芬·皮施克,2019,格致出版社,978-7-5432-2764-4,
An Introduction to Game Theory,"Osborne, Martin J.",2003,Oxford University Press,978-0-19-512895-6,
ECONOMETRICS,"HANSEN, BRUCE E.",2021,,,
INTRODUCTION TO ECONOMETRICS,"HANSEN, BRUCE E.",2021,,,
薛兆丰经济学讲义,薛兆丰,2018,中信出版集团,978-7-5086-8551-9,
财务报表分析与证券投资,姜国华,2008,北京大学出版社,978-7-301-13798-7,
经济计量学精要（第四版）习题集,"古扎拉蒂, 达摩达尔·N·",2010,机械工业出版社,,
经济计量学精要,"古扎拉蒂, 达莫达尔·N; 波特",2010,机械工业出版社,978-7-111-30817-1,
概率论与数理统计教程,茆诗松; 程依明; 濮晓龙,2011,高等教育出版社,978-7-04-031210-2,
平狄克《微观经济学》（第8版）笔记和课后习题详解（修订版）,圣才考研网,2018,中国石化出版社,978-7-5114-4731-9,
考博英语全项指导（第十三版）,,2019,机械工业出版社,,
考博英语作文万能模板（第4版）,,2019,机械工业出版社,,
考博英语阅读理解精粹100篇（第13版）,,2019,机械工业出版社,,
考博英语名校真题精解及全真预测试卷（第5版）,,2019,机械工业出版社,,
4周攻克考博英语写译（第5版）,,2018,机械工业出版社,,
4周攻克考博英语听力、词汇、完形、改错周计划（第4版）,,2018,机械工业出版社,,
《微观经济学:现代观点》（第 9 版）笔记和课后习题详解,圣才考研网,,,,
中级微观经济学：现代方法（第 8 版）完美翻译版,曹乾,2013,,,
多恩布什《宏观经济学》（第12版）笔记和课后习题详解,圣才考研网,,,,
Using R for Introductory Econometrics,"Heiss, Florian",2020,Independently published,9.79865E+12,
计量经济分析,威廉·H·格林,2011,中国人民大学出版社,978-7-300-12779-8,
计量经济学导论：现代观点（第六版）,杰弗里·M·伍德里奇,2018,中国人民大学出版社,978-7-300-25914-7,
金融时间序列分析讲义,李东风,,,,
宏观经济学教程,叶航; 何樟勇; 李建琴,2016,浙江大学出版社,978-7-308-16229-6,
